date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01,6.8,4.3,9.0,7.2,0.0,,24.0,,999.6,67
2018-01-02,5.5,4.4,6.9,11.4,0.0,,18.0,,1007.1,9
2018-01-03,7.5,6.1,10.1,6.0,0.0,,35.0,,991.5,31
2018-01-04,8.0,7.0,11.1,1.9,0.0,,25.0,,994.6,0
2018-01-05,7.9,5.7,9.2,0.0,0.0,,21.0,,996.7,4
2018-01-06,4.7,1.9,6.9,0.7,0.0,,7.0,,1008.0,1
2018-01-07,2.2,1.0,3.9,0.0,0.0,,23.0,,1024.2,102
2018-01-08,2.1,0.7,4.3,0.0,0.0,,22.0,,1023.9,301
2018-01-09,3.6,1.6,7.2,0.0,0.0,,9.0,,1012.5,2
2018-01-10,6.9,3.2,10.4,0.0,0.0,,10.0,,1010.2,61
2018-01-11,5.4,3.7,7.4,0.0,0.0,,3.0,,1016.2,0
2018-01-12,3.5,1.5,4.7,0.0,0.0,,4.0,,1025.4,0
2018-01-13,4.5,2.0,7.0,0.0,0.0,,8.0,,1025.1,24
2018-01-14,2.4,-0.6,4.4,0.0,0.0,,12.0,,1021.5,282
2018-01-15,4.5,2.0,6.7,4.2,0.0,,25.0,,1006.0,12
2018-01-16,4.3,1.6,6.9,11.2,0.0,,23.0,,992.6,20
2018-01-17,2.2,0.3,3.9,5.3,0.0,,24.0,,999.4,17
2018-01-18,4.4,0.9,9.8,10.2,0.0,,35.0,,997.1,35
2018-01-19,2.1,0.5,4.6,5.4,0.0,,12.0,,1006.5,5
2018-01-20,2.4,1.0,4.2,3.5,0.0,,11.0,,1004.0,64
2018-01-21,2.1,1.0,4.1,0.7,0.0,,12.0,,1012.1,13
2018-01-22,4.9,1.5,7.2,1.1,0.0,,17.0,,1008.8,0
2018-01-23,7.3,5.4,9.5,0.2,0.0,,19.0,,1019.8,17
2018-01-24,11.9,9.5,13.8,2.5,0.0,,30.0,,1014.3,44
2018-01-25,8.2,6.2,11.8,1.4,0.0,,14.0,,1012.0,0
2018-01-26,6.0,2.9,8.4,0.0,0.0,,6.0,,1018.2,2
2018-01-27,5.5,3.4,7.8,0.3,0.0,,14.0,,1028.5,209
2018-01-28,8.3,5.2,10.4,0.0,0.0,233.0,27.0,,1028.4,2
